state_name,date,election_type,party,govt_type,election_key,state_abbr
puerto rico,2000-11-09,cp,n/a,congress,2000-11-09-cp-PR,PR
california,2000-03-02,cp,n/a,congress,2000-03-02-cp-CA,CA
maryland,2000-03-02,cp,n/a,congress,2000-03-02-cp-MD,MD
ohio,2000-03-02,cp,n/a,congress,2000-03-02-cp-OH,OH
mississippi,2000-03-09,cp,n/a,congress,2000-03-09-cp-MS,MS
texas,2000-03-09,cp,n/a,congress,2000-03-09-cp-TX,TX
illinois,2000-03-16,cp,n/a,congress,2000-03-16-cp-IL,IL
pennsylvania,2000-04-27,cp,n/a,congress,2000-04-27-cp-PA,PA
indiana,2000-05-04,cp,n/a,congress,2000-05-04-cp-IN,IN
nebraska,2000-05-11,cp,n/a,congress,2000-05-11-cp-NE,NE
west virginia,2000-05-11,cp,n/a,congress,2000-05-11-cp-WV,WV
arkansas,2000-05-18,cp,n/a,congress,2000-05-18-cp-AR,AR
kentucky,2000-05-18,cp,n/a,congress,2000-05-18-cp-KY,KY
oregon,2000-05-18,cp,n/a,congress,2000-05-18-cp-OR,OR
idaho,2000-05-25,cp,n/a,congress,2000-05-25-cp-ID,ID
alabama,2000-06-01,cp,n/a,congress,2000-06-01-cp-AL,AL
new mexico,2000-06-01,cp,n/a,congress,2000-06-01-cp-NM,NM
south dakota,2000-06-01,cp,n/a,congress,2000-06-01-cp-SD,SD
iowa,2000-06-08,cp,n/a,congress,2000-06-08-cp-IA,IA
maine,2000-06-08,cp,n/a,congress,2000-06-08-cp-ME,ME
montana,2000-06-08,cp,n/a,congress,2000-06-08-cp-MT,MT
new jersey,2000-06-08,cp,n/a,congress,2000-06-08-cp-NJ,NJ
north dakota,2000-06-08,cp,n/a,congress,2000-06-08-cp-ND,ND
south carolina,2000-06-08,cp,n/a,congress,2000-06-08-cp-SC,SC
virginia,2000-06-08,cp,n/a,congress,2000-06-08-cp-VA,VA
utah,2000-06-22,cp,n/a,congress,2000-06-22-cp-UT,UT
georgia,2000-07-20,cp,n/a,congress,2000-07-20-cp-GA,GA
north carolina,2000-07-20,cp,n/a,congress,2000-07-20-cp-NC,NC
oklahoma,2000-07-27,cp,n/a,congress,2000-07-27-cp-OK,OK
kansas,2000-08-03,cp,n/a,congress,2000-08-03-cp-KS,KS
michigan,2000-08-03,cp,n/a,congress,2000-08-03-cp-MI,MI
missouri,2000-08-03,cp,n/a,congress,2000-08-03-cp-MO,MO
tennessee,2000-08-05,cp,n/a,congress,2000-08-05-cp-TN,TN
colorado,2000-08-10,cp,n/a,congress,2000-08-10-cp-CO,CO
connecticut,2000-08-10,cp,n/a,congress,2000-08-10-cp-CT,CT
wyoming,2000-08-17,cp,n/a,congress,2000-08-17-cp-WY,WY
alaska,2000-08-24,cp,n/a,congress,2000-08-24-cp-AK,AK
florida,2000-08-31,cp,n/a,congress,2000-08-31-cp-FL,FL
guam,2000-09-04,cp,n/a,congress,2000-09-04-cp-GU,GU
arizona,2000-09-07,cp,n/a,congress,2000-09-07-cp-AZ,AZ
nevada,2000-09-07,cp,n/a,congress,2000-09-07-cp-NV,NV
delaware,2000-09-11,cp,n/a,congress,2000-09-11-cp-DE,DE
virgin islands,2000-09-11,cp,n/a,congress,2000-09-11-cp-VI,VI
d.c.,2000-09-14,cp,n/a,congress,,
massachusetts,2000-09-14,cp,n/a,congress,2000-09-14-cp-MA,MA
minnesota,2000-09-14,cp,n/a,congress,2000-09-14-cp-MN,MN
new hampshire,2000-09-14,cp,n/a,congress,2000-09-14-cp-NH,NH
new york,2000-09-14,cp,n/a,congress,2000-09-14-cp-NY,NY
rhode island,2000-09-14,cp,n/a,congress,2000-09-14-cp-RI,RI
vermont,2000-09-14,cp,n/a,congress,2000-09-14-cp-VT,VT
washington,2000-09-14,cp,n/a,congress,2000-09-14-cp-WA,WA
wisconsin,2000-09-14,cp,n/a,congress,2000-09-14-cp-WI,WI
hawaii,2000-09-18,cp,n/a,congress,2000-09-18-cp-HI,HI
american samoa,2000-11-02,cp,n/a,congress,2000-11-02-cp-AS,AS
puerto rico,2004-11-09,cp,n/a,congress,2004-11-09-cp-PR,PR
california,2004-03-02,cp,n/a,congress,2004-03-02-cp-CA,CA
maryland,2004-03-02,cp,n/a,congress,2004-03-02-cp-MD,MD
ohio,2004-03-02,cp,n/a,congress,2004-03-02-cp-OH,OH
mississippi,2004-03-09,cp,n/a,congress,2004-03-09-cp-MS,MS
texas,2004-03-09,cp,n/a,congress,2004-03-09-cp-TX,TX
illinois,2004-03-16,cp,n/a,congress,2004-03-16-cp-IL,IL
pennsylvania,2004-04-27,cp,n/a,congress,2004-04-27-cp-PA,PA
indiana,2004-05-04,cp,n/a,congress,2004-05-04-cp-IN,IN
nebraska,2004-05-11,cp,n/a,congress,2004-05-11-cp-NE,NE
west virginia,2004-05-11,cp,n/a,congress,2004-05-11-cp-WV,WV
arkansas,2004-05-18,cp,n/a,congress,2004-05-18-cp-AR,AR
kentucky,2004-05-18,cp,n/a,congress,2004-05-18-cp-KY,KY
oregon,2004-05-18,cp,n/a,congress,2004-05-18-cp-OR,OR
idaho,2004-05-25,cp,n/a,congress,2004-05-25-cp-ID,ID
alabama,2004-06-01,cp,n/a,congress,2004-06-01-cp-AL,AL
new mexico,2004-06-01,cp,n/a,congress,2004-06-01-cp-NM,NM
south dakota,2004-06-01,cp,n/a,congress,2004-06-01-cp-SD,SD
iowa,2004-06-08,cp,n/a,congress,2004-06-08-cp-IA,IA
maine,2004-06-08,cp,n/a,congress,2004-06-08-cp-ME,ME
montana,2004-06-08,cp,n/a,congress,2004-06-08-cp-MT,MT
new jersey,2004-06-08,cp,n/a,congress,2004-06-08-cp-NJ,NJ
north dakota,2004-06-08,cp,n/a,congress,2004-06-08-cp-ND,ND
