STATE ,CONGRESSIONAL PRIMARY DATE,CONGRESSIONAL PRIMARY RUNOFF
Puerto Rico ,11/9/2000, 
California ,3/2/2000, 
Maryland ,3/2/2000, 
Ohio ,3/2/2000, 
Mississippi ,3/9/2000,3/30/2000
Texas ,3/9/2000,4/13/2000
Illinois ,3/16/2000, 
Pennsylvania ,4/27/2000, 
Indiana ,5/4/2000, 
Nebraska ,5/11/2000, 
West Virginia ,5/11/2000, 
Arkansas ,5/18/2000,6/8/2000
Kentucky ,5/18/2000, 
Oregon ,5/18/2000, 
Idaho ,5/25/2000, 
Alabama ,6/1/2000,6/29/2000
New Mexico ,6/1/2000, 
South Dakota ,6/1/2000,6/15/2000
Iowa ,6/8/2000, 
Maine ,6/8/2000, 
Montana ,6/8/2000, 
New Jersey ,6/8/2000, 
North Dakota ,6/8/2000, 
South Carolina ,6/8/2000,6/22/2000
Virginia ,6/8/2000, 
Utah ,6/22/2000, 
Georgia ,7/20/2000,8/10/2000
North Carolina ,7/20/2000,8/17/2000
Oklahoma ,7/27/2000,8/24/2000
Kansas ,8/3/2000, 
Michigan ,8/3/2000, 
Missouri ,8/3/2000, 
Tennessee ,8/5/2000, 
Colorado ,8/10/2000, 
Connecticut ,8/10/2000, 
Wyoming ,8/17/2000, 
Alaska ,8/24/2000, 
Florida ,8/31/2000, 
Guam ,9/4/2000, 
Arizona ,9/7/2000, 
Nevada ,9/7/2000, 
Delaware ,9/11/2000, 
Virgin Islands ,9/11/2000,9/25/2000
D.C. ,9/14/2000, 
Massachusetts ,9/14/2000, 
Minnesota ,9/14/2000, 
New Hampshire,9/14/2000, 
New York ,9/14/2000, 
Rhode Island ,9/14/2000, 
Vermont ,9/14/2000, 
Washington ,9/14/2000, 
Wisconsin ,9/14/2000, 
Hawaii ,9/18/2000, 
American Samoa ,11/2/2000,11/16/2000
Puerto Rico ,11/9/2004, 
California ,3/2/2004, 
Maryland ,3/2/2004, 
Ohio ,3/2/2004, 
Mississippi ,3/9/2004,3/30/2004
Texas ,3/9/2004,4/13/2004
Illinois ,3/16/2004, 
Pennsylvania ,4/27/2004, 
Indiana ,5/4/2004, 
Nebraska ,5/11/2004, 
West Virginia ,5/11/2004, 
Arkansas ,5/18/2004,6/8/2004
Kentucky ,5/18/2004, 
Oregon ,5/18/2004, 
Idaho ,5/25/2004, 
Alabama ,6/1/2004,6/29/2004
New Mexico ,6/1/2004, 
South Dakota ,6/1/2004,6/15/2004
Iowa ,6/8/2004, 
Maine ,6/8/2004, 
Montana ,6/8/2004, 
New Jersey ,6/8/2004, 
North Dakota ,6/8/2004, 
South Carolina ,6/8/2004,6/22/2004
Virginia ,6/8/2004, 
Utah ,6/22/2004, 
Georgia ,7/20/2004,8/10/2004
North Carolina ,7/20/2004,8/17/2004
Oklahoma ,7/27/2004,8/24/2004
Kansas ,8/3/2004, 
Michigan ,8/3/2004, 
Missouri ,8/3/2004, 
Tennessee ,8/5/2004, 
Colorado ,8/10/2004, 
Connecticut ,8/10/2004, 
Wyoming ,8/17/2004, 
Alaska ,8/24/2004, 
Florida ,8/31/2004, 
Guam ,9/4/2004, 
Arizona ,9/7/2004, 
Nevada ,9/7/2004, 
Delaware ,9/11/2004, 
Virgin Islands ,9/11/2004,9/25/2004
D.C. ,9/14/2004, 
Massachusetts ,9/14/2004, 
Minnesota ,9/14/2004, 
New Hampshire,9/14/2004, 
New York ,9/14/2004, 
Rhode Island ,9/14/2004, 
Vermont ,9/14/2004, 
Washington ,9/14/2004, 
Wisconsin ,9/14/2004, 
Hawaii ,9/18/2004, 
American Samoa ,11/2/2004,11/16/2004
Illinois ,2/5/2008, 
Maryland ,2/12/2008, 
Ohio ,3/4/2008, 
Texas ,3/4/2008,4/8/2008
Puerto Rico ,3/9/2008, 
Mississippi ,3/11/2008,4/1/2008
Pennsylvania ,4/22/2008, 
Indiana ,5/6/2008, 
North Carolina ,5/6/2008,6/24/2008
Nebraska ,5/13/2008, 
West Virginia ,5/13/2008, 
Kentucky ,5/20/2008, 
Oregon ,5/20/2008, 
Arkansas ,5/20/2008,6/10/2008
Idaho ,5/27/2008, 
California ,6/3/2008, 
Iowa ,6/3/2008, 
Montana ,6/3/2008, 
New Jersey ,6/3/2008, 
New Mexico ,6/3/2008, 
South Dakota ,6/3/2008,6/17/2008
Alabama ,6/3/2008,7/15/2008
Maine ,6/10/2008, 
North Dakota ,6/10/2008, 
Virginia ,6/10/2008, 
South Carolina ,6/10/2008,6/24/2008
Utah ,6/24/2008, 
Georgia ,7/15/2008,8/5/2008
Oklahoma ,7/29/2008,8/26/2008
Kansas ,8/5/2008, 
Michigan ,8/5/2008, 
Missouri ,8/5/2008, 
Tennessee ,8/7/2008, 
Colorado ,8/12/2008, 
Connecticut ,8/12/2008, 
Nevada ,8/12/2008, 
Washington ,8/19/2008, 
Wyoming ,8/19/2008, 
Alaska ,8/26/2008, 
Florida ,8/26/2008, 
Arizona ,9/2/2008, 
Guam ,9/6/2008, 
Louisiana ,9/6/2008,10/4/2008
Delaware ,9/9/2008, 
D.C. ,9/9/2008, 
Minnesota ,9/9/2008, 
New Hampshire,9/9/2008, 
New York ,9/9/2008, 
Rhode Island ,9/9/2008, 
Vermont ,9/9/2008, 
Wisconsin ,9/9/2008, 
Virgin Islands ,9/13/2008, 
Massachusetts ,9/16/2008, 
Hawaii ,9/20/2008, 
American Samoa ,11/4/2008, 
Ohio ,3/6/2012, 
Alabama ,3/13/2012,4/24/2012
Mississippi  ,3/13/2012,4/3/2012
Puerto Rico ,3/18/2012, 
Illinois ,3/20/2012,  
D.C. ,4/3/2012, 
Maryland ,4/1/2012, 
Pennsylvania ,4/24/2012, 
Indiana ,5/1/2012, 
North Carolina ,5/8/2012,7/17/2012
West Virginia ,5/8/2012,  
Idaho ,5/15/2012,  
Nebraska ,5/15/2012,  
Oregon ,5/15/2012,  
Arkansas ,5/22/2012,6/12/2012
Kentucky ,5/22/2012,  
Texas ,5/29/2012,7/31/2012
California ,6/5/2012,  
Iowa ,6/5/2012, 
Montana ,6/5/2012, 
New Jersey ,6/5/2012, 
New Mexico ,6/5/2012,  
South Dakota ,6/5/2012,6/26/2012
Maine ,6/12/2012, 
Nevada ,6/12/2012, 
North Dakota ,6/12/2012, 
South Carolina ,6/12/2012,6/26/2012
Virginia ,6/12/2012, 
Colorado ,6/26/2012,  
New York ,6/26/2012, 
Oklahoma ,6/26/2012,8/28/2012
Utah ,6/26/2012, 
Georgia ,7/31/2012,8/21/2012
Tennessee ,8/2/2012,  
Kansas ,8/1/2012,  
Michigan ,8/1/2012,  
Missouri ,8/7/2012,  
Washington ,8/7/2012,  
Hawaii ,8/11/2012,  
Connecticut ,8/14/2012, 
Florida ,8/14/2012, 
Minnesota ,8/14/2012, 
Wisconsin ,8/14/2012, 
Wyoming ,8/21/2012, 
Alaska ,8/28/2012, 
Arizona ,8/28/2012, 
Vermont ,8/28/2012, 
Guam ,9/1/2012,  
Massachusetts ,9/6/2012, 
Virgin Islands ,9/8/2012,9/22/2012
Delaware ,9/11/2012, 
New Hampshire,9/11/2012, 
Rhode Island ,9/11/2012, 
Arkansas ,3/1/2016,3/22/2016
Alabama ,3/1/2016,4/12/2016
Texas ,3/1/2016,5/24/2016
Mississippi ,3/8/2016,3/29/2016
Illinois ,3/15/2016, 
North Carolina ,3/15/2016 (U.S. Senate) , 
Ohio ,3/15/2016, 
Maryland ,4/26/2016, 
Pennsylvania ,4/26/2016, 
Indiana ,5/3/2016, 
Nebraska ,5/10/2016, 
West Virginia ,5/10/2016, 
Idaho ,5/17/2016, 
Kentucky ,5/17/2016, 
Oregon ,5/17/2016, 
Georgia ,5/24/2016,7/26/2016
Puerto Rico ,6/5/2016, 
California ,6/7/2016, 
Iowa ,6/7/2016, 
Montana ,6/7/2016, 
New Jersey ,6/7/2016, 
New Mexico ,6/7/2016, 
North Carolina ,6/7/2016 (U.S. House) , 
South Dakota ,6/7/2016,8/16/2016
D.C. ,6/14/2016, 
Maine ,6/14/2016, 
Nevada ,6/14/2016, 
North Dakota ,6/14/2016, 
South Carolina ,6/14/2016,6/28/2016
Virginia ,6/14/2016, 
Colorado ,6/28/2016, 
New York ,6/28/2016, 
Oklahoma ,6/28/2016,8/23/2016
Utah ,6/28/2016, 
Kansas ,8/2/2016, 
Michigan ,8/2/2016, 
Missouri ,8/2/2016, 
Washington ,8/2/2016, 
Tennessee ,8/4/2016, 
Virgin Islands ,8/6/2016,8/27/2016
Connecticut ,8/9/2016, 
Minnesota ,8/9/2016, 
Vermont ,8/9/2016, 
Wisconsin ,8/9/2016, 
Hawaii ,8/13/2016, 
Alaska ,8/16/2016, 
Wyoming ,8/16/2016, 
Guam ,8/27/2016, 
Arizona ,8/30/2016, 
Florida ,8/30/2016, 
Massachusetts ,9/8/2016, 
Delaware ,9/13/2016, 
New Hampshire,9/13/2016, 
Rhode Island ,9/13/2016,
Alabama ,3/3/2020,7/14/2020
Arkansas ,3/3/2020,3/31/2020
California ,3/3/2020, 
North Carolina ,3/3/2020,6/23/2020
Texas ,3/3/2020,7/14/2020
Mississippi ,3/10/2020,6/23/2020
Illinois ,3/17/2020, 
Ohio ,4/28/2020, 
