STATE ,PRESIDENTIAL PRIMARY,PRESIDENTIAL CAUCUS DATE 
Alabama,6/6/2000,
Alaska,,5/19/2000 (R) Convention
Alaska,,5/20/2000 (D) Convention
American Samoa,,2/26/2000 (R)
American Samoa,,3/7/2000 (D)
Arizona,2/22/2000,
Arizona,3/11/2000 (D),
Arkansas,5/23/2000,
California,3/7/2000,
Colorado,3/10/2000,
Connecticut,3/7/2000,
Delaware,2/5/2000,
Delaware,2/8/2000 (R),
D.C.,5/2/2000,
Florida,3/14/2000,
Georgia,3/7/2000,
Guam,,2/26/2000 (R)
Guam,,3/18/2000 (D)
Hawaii,,3/7/2000 (D)
Hawaii,,5/19/2000 (R)
Idaho,5/23/2000,
Illinois,3/21/2000,
Indiana,5/2/2000,
Iowa,,1/24/2000
Kansas,,4/22/2000 (D)
Kansas,,5/25/2000 (R)
Kentucky,5/23/2000,
Louisiana,3/14/2000,
Maine,3/7/2000,
Maryland,3/7/2000,
Massachusetts,3/7/2000,
Michigan,2/22/2000,3/11/2000 (D)
Minnesota,,3/7/2000
Mississippi,3/14/2000,
Missouri,3/7/2000,
Montana,6/6/2000,
Nebraska,5/9/2000,
Nevada,,5/21/2000 (D) Convention
Nevada,,5/25/2000 (R) Convention
New Hampshire,2/1/2000,
New Jersey,6/6/2000,
New Mexico,6/6/2000,
New York,3/7/2000,
North Carolina,5/2/2000,
North Dakota,,2/29/2000 (R)
North Dakota,,3/7/2000 (D)
Ohio,3/7/2000,
Oklahoma,3/14/2000,
Oregon,5/16/2000,
Pennsylvania,4/4/2000,
Puerto Rico,2/27/2000 (R),4/2/2000 (D)
Rhode Island,3/7/2000,
South Carolina,2/19/2000 (R),3/9/2000 (D)
South Dakota,6/6/2000,
Tennessee,3/14/2000,
Texas,3/14/2000,
Utah,3/10/2000,
Vermont,3/7/2000,
Virginia,2/29/2000 (R),6/3/2000 (D) Convention
Virgin Islands,,2/26/2000 (R)
Virgin Islands,,4/1/2000 (D)
Washington,2/29/2000,
West Virginia,5/9/2000,
Wisconsin,4/4/2000,
Wisconsin,,3/10/2000 (R)
Wyoming,,3/25/2000 (D)
D.C. ,1/13/2004,
Iowa ,,1/19/2004
New Hampshire,1/27/2004,
Arizona ,2/3/2004 (D),
Delaware ,2/3/2004 (D),
Missouri ,2/3/2004,
New Mexico ,,2/3/2004 (D)
North Dakota ,,2/3/2004
Oklahoma ,2/3/2004,
South Carolina ,2/3/2004 (D),
Michigan ,,2/7/2004 (D) 
Washington ,,2/7/2004 (D) 
Maine ,,2/8/2004 (D) 
D.C. ,,2/10/2004 (R) 
Tennessee ,2/10/2004,
Virginia ,2/10/2004 (D),
D.C. ,,2/14/2004 (D) 
Nevada ,,2/14/2004 (D) 
Wisconsin ,2/17/2004,
Guam ,,2/21/2004 (R) Convention
Hawaii ,,2/24/2004 (D) 
