,state_name,date,election_type,party,govt_type,election_key,state_abbr
0,alabama,1982-11-02,g,np,congress,1982-11-02-g-AL,AL
1,arizona,1982-11-02,g,np,congress,1982-11-02-g-AZ,AZ
2,arkansas,1982-11-02,g,np,congress,1982-11-02-g-AR,AR
3,california,1982-11-02,g,np,congress,1982-11-02-g-CA,CA
4,colorado,1982-11-02,g,np,congress,1982-11-02-g-CO,CO
5,connecticut,1982-11-02,g,np,congress,1982-11-02-g-CT,CT
6,delaware,1982-11-02,g,np,congress,1982-11-02-g-DE,DE
7,district of columbia,1982-11-02,g,np,congress,1982-11-02-g-DC,DC
8,florida,1982-11-02,g,np,congress,1982-11-02-g-FL,FL
9,georgia,1982-11-02,g,np,congress,1982-11-02-g-GA,GA
10,idaho,1982-11-02,g,np,congress,1982-11-02-g-ID,ID
11,illinois,1982-11-02,g,np,congress,1982-11-02-g-IL,IL
12,indiana,1982-11-02,g,np,congress,1982-11-02-g-IN,IN
13,iowa,1982-11-02,g,np,congress,1982-11-02-g-IA,IA
14,kansas,1982-11-02,g,np,congress,1982-11-02-g-KS,KS
15,kentucky,1982-11-02,g,np,congress,1982-11-02-g-KY,KY
16,louisiana,1982-11-02,g,np,congress,1982-11-02-g-LA,LA
17,maine,1982-11-02,g,np,congress,1982-11-02-g-ME,ME
18,montana,1982-11-02,g,np,congress,1982-11-02-g-MT,MT
19,nebraska,1982-11-02,g,np,congress,1982-11-02-g-NE,NE
20,nevada,1982-11-02,g,np,congress,1982-11-02-g-NV,NV
21,new hampshire,1982-11-02,g,np,congress,1982-11-02-g-NH,NH
22,new jersey,1982-11-02,g,np,congress,1982-11-02-g-NJ,NJ
23,new mexico,1982-11-02,g,np,congress,1982-11-02-g-NM,NM
24,new york,1982-11-02,g,np,congress,1982-11-02-g-NY,NY
25,north carolina,1982-11-02,g,np,congress,1982-11-02-g-NC,NC
26,north dakota,1982-11-02,g,np,congress,1982-11-02-g-ND,ND
27,ohio,1982-11-02,g,np,congress,1982-11-02-g-OH,OH
28,oklahoma,1982-11-02,g,np,congress,1982-11-02-g-OK,OK
29,oregon,1982-11-02,g,np,congress,1982-11-02-g-OR,OR
30,maryland,1982-11-02,g,np,congress,1982-11-02-g-MD,MD
31,massachusetts,1982-11-02,g,np,congress,1982-11-02-g-MA,MA
32,michigan,1982-11-02,g,np,congress,1982-11-02-g-MI,MI
33,minnesota,1982-11-02,g,np,congress,1982-11-02-g-MN,MN
34,mississippi,1982-11-02,g,np,congress,1982-11-02-g-MS,MS
35,missouri,1982-11-02,g,np,congress,1982-11-02-g-MO,MO
36,pennsylvania,1982-11-02,g,np,congress,1982-11-02-g-PA,PA
37,rhode island,1982-11-02,g,np,congress,1982-11-02-g-RI,RI
38,south carolina,1982-11-02,g,np,congress,1982-11-02-g-SC,SC
