state_name,date,election_type,party,govt_type,election_key,state_abbr
alabama,1982-11-02,g,np,congress,1982-11-02-g-AL,AL
arizona,1982-11-02,g,np,congress,1982-11-02-g-AZ,AZ
arkansas,1982-11-02,g,np,congress,1982-11-02-g-AR,AR
california,1982-11-02,g,np,congress,1982-11-02-g-CA,CA
colorado,1982-11-02,g,np,congress,1982-11-02-g-CO,CO
connecticut,1982-11-02,g,np,congress,1982-11-02-g-CT,CT
delaware,1982-11-02,g,np,congress,1982-11-02-g-DE,DE
district of columbia,1982-11-02,g,np,congress,1982-11-02-g-DC,DC
florida,1982-11-02,g,np,congress,1982-11-02-g-FL,FL
georgia,1982-11-02,g,np,congress,1982-11-02-g-GA,GA
idaho,1982-11-02,g,np,congress,1982-11-02-g-ID,ID
illinois,1982-11-02,g,np,congress,1982-11-02-g-IL,IL
indiana,1982-11-02,g,np,congress,1982-11-02-g-IN,IN
iowa,1982-11-02,g,np,congress,1982-11-02-g-IA,IA
kansas,1982-11-02,g,np,congress,1982-11-02-g-KS,KS
kentucky,1982-11-02,g,np,congress,1982-11-02-g-KY,KY
louisiana,1982-11-02,g,np,congress,1982-11-02-g-LA,LA
maine,1982-11-02,g,np,congress,1982-11-02-g-ME,ME
montana,1982-11-02,g,np,congress,1982-11-02-g-MT,MT
nebraska,1982-11-02,g,np,congress,1982-11-02-g-NE,NE
nevada,1982-11-02,g,np,congress,1982-11-02-g-NV,NV
new hampshire,1982-11-02,g,np,congress,1982-11-02-g-NH,NH
new jersey,1982-11-02,g,np,congress,1982-11-02-g-NJ,NJ
new mexico,1982-11-02,g,np,congress,1982-11-02-g-NM,NM
new york,1982-11-02,g,np,congress,1982-11-02-g-NY,NY
north carolina,1982-11-02,g,np,congress,1982-11-02-g-NC,NC
north dakota,1982-11-02,g,np,congress,1982-11-02-g-ND,ND
ohio,1982-11-02,g,np,congress,1982-11-02-g-OH,OH
oklahoma,1982-11-02,g,np,congress,1982-11-02-g-OK,OK
oregon,1982-11-02,g,np,congress,1982-11-02-g-OR,OR
maryland,1982-11-02,g,np,congress,1982-11-02-g-MD,MD
massachusetts,1982-11-02,g,np,congress,1982-11-02-g-MA,MA
michigan,1982-11-02,g,np,congress,1982-11-02-g-MI,MI
minnesota,1982-11-02,g,np,congress,1982-11-02-g-MN,MN
mississippi,1982-11-02,g,np,congress,1982-11-02-g-MS,MS
missouri,1982-11-02,g,np,congress,1982-11-02-g-MO,MO
pennsylvania,1982-11-02,g,np,congress,1982-11-02-g-PA,PA
rhode island,1982-11-02,g,np,congress,1982-11-02-g-RI,RI
south carolina,1982-11-02,g,np,congress,1982-11-02-g-SC,SC
south dakota,1982-11-02,g,np,congress,1982-11-02-g-SD,SD
tennessee,1982-11-02,g,np,congress,1982-11-02-g-TN,TN
texas,1982-11-02,g,np,congress,1982-11-02-g-TX,TX
utah,1982-11-02,g,np,congress,1982-11-02-g-UT,UT
vermont,1982-11-02,g,np,congress,1982-11-02-g-VT,VT
virginia,1982-11-02,g,np,congress,1982-11-02-g-VA,VA
washington,1982-11-02,g,np,congress,1982-11-02-g-WA,WA
west virginia,1982-11-02,g,np,congress,1982-11-02-g-WV,WV
wisconsin,1982-11-02,g,np,congress,1982-11-02-g-WI,WI
wyoming,1982-11-02,g,np,congress,1982-11-02-g-WY,WY
alaska,1982-11-02,g,np,congress,1982-11-02-g-AK,AK
hawaii,1982-11-02,g,np,congress,1982-11-02-g-HI,HI
guam,1982-11-02,g,np,congress,1982-11-02-g-GU,GU
american samoa,1982-11-02,g,np,congress,1982-11-02-g-AS,AS
northern mariana islands,1982-11-02,g,np,congress,1982-11-02-g-MP,MP
virgin islands,1982-11-02,g,np,congress,1982-11-02-g-VI,VI
puerto rico,1982-11-02,g,np,congress,1982-11-02-g-PR,PR
alabama,1984-11-06,g,np,congress,1984-11-06-g-AL,AL
arizona,1984-11-06,g,np,congress,1984-11-06-g-AZ,AZ
arkansas,1984-11-06,g,np,congress,1984-11-06-g-AR,AR
california,1984-11-06,g,np,congress,1984-11-06-g-CA,CA
colorado,1984-11-06,g,np,congress,1984-11-06-g-CO,CO
connecticut,1984-11-06,g,np,congress,1984-11-06-g-CT,CT
delaware,1984-11-06,g,np,congress,1984-11-06-g-DE,DE
district of columbia,1984-11-06,g,np,congress,1984-11-06-g-DC,DC
florida,1984-11-06,g,np,congress,1984-11-06-g-FL,FL
georgia,1984-11-06,g,np,congress,1984-11-06-g-GA,GA
idaho,1984-11-06,g,np,congress,1984-11-06-g-ID,ID
illinois,1984-11-06,g,np,congress,1984-11-06-g-IL,IL
indiana,1984-11-06,g,np,congress,1984-11-06-g-IN,IN
iowa,1984-11-06,g,np,congress,1984-11-06-g-IA,IA
kansas,1984-11-06,g,np,congress,1984-11-06-g-KS,KS
kentucky,1984-11-06,g,np,congress,1984-11-06-g-KY,KY
louisiana,1984-11-06,g,np,congress,1984-11-06-g-LA,LA
